,Logistic Regression,K Nearest Neighbor,CART,Random Forest,"AdaBoost
","GradientBoosting
","XGBoost
","CatBoost
","ExtraTreesClassifier
","LGBM
",Optimal Tree Classifier (OCT)
Original Features,"0.8218767289314177
","0.834844536667908
","0.8073302360207957
","0.9265251425195078
","0.8405331846346556
","0.8831307659798152
","0.9019495548083268
",0.900910156314484,"0.9205357547858626
","0.8817908470217979
",0.83
With Feature Engineering,0.844124967656421,0.859082007523903,0.814771835859733,"0.9317015924679292
","0.8568880815700842
","0.883621813055183
","0.9042831867498438
","0.9112886340083849
",0.924520135220134,0.8916917847628,0.88